"TIME","CURRENCY","S_ADJ","INDIC","Value","Flag and Footnotes"
"2008M01","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4718",""
"2008M02","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4748",""
"2008M03","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.5527",""
"2008M04","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.5751",""
"2008M05","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.5557",""
"2008M06","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.5553",""
"2008M07","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.5770",""
"2008M08","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4975",""
"2008M09","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4369",""
"2008M10","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3322",""
"2008M11","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2732",""
"2008M12","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3449",""
"2009M01","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3239",""
"2009M02","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2785",""
"2009M03","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3050",""
"2009M04","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3190",""
"2009M05","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3650",""
"2009M06","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4016",""
"2009M07","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4088",""
"2009M08","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4268",""
"2009M09","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4562",""
"2009M10","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4816",""
"2009M11","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4914",""
"2009M12","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4614",""
"2010M01","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4272",""
"2010M02","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3686",""
"2010M03","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3569",""
"2010M04","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3406",""
"2010M05","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2565",""
"2010M06","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2209",""
"2010M07","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2770",""
"2010M08","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2894",""
"2010M09","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3067",""
"2010M10","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3898",""
"2010M11","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3661",""
"2010M12","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3220",""
"2011M01","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3360",""
"2011M02","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3649",""
"2011M03","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3999",""
"2011M04","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4442",""
"2011M05","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4349",""
"2011M06","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4388",""
"2011M07","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4264",""
"2011M08","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.4343",""
"2011M09","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3770",""
"2011M10","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3706",""
"2011M11","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3556",""
"2011M12","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3179",""
"2012M01","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2905",""
"2012M02","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3224",""
"2012M03","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3201",""
"2012M04","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3162",""
"2012M05","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2789",""
"2012M06","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2526",""
"2012M07","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2288",""
"2012M08","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2400",""
"2012M09","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2856",""
"2012M10","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2974",""
"2012M11","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2828",""
"2012M12","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3119",""
"2013M01","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3288",""
"2013M02","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3359",""
"2013M03","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2964",""
"2013M04","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3026",""
"2013M05","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2982",""
"2013M06","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3189",""
"2013M07","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3080",""
"2013M08","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3310",""
"2013M09","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3348",""
"2013M10","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3635",""
"2013M11","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3493",""
"2013M12","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3704",""
